NO_OF_SAMPLES	2700
TOT_NO_OF_CHAN	40
FREQUENCY	2400.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2014-12-18, 12:00:02	15838.71466643
FIRST_SAMPLE	2801
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Channel_01	Channel_02	Channel_03	Channel_04	Channel_05	Channel_06	Channel_07	Channel_08	Channel_09	Channel_10	Channel_11	Channel_12	Channel_13	Channel_14	Channel_15	Channel_16	Channel_17	Channel_18	Channel_19	Channel_20	Channel_21	Channel_22	Channel_23	Channel_24	Channel_25	Channel_26	Channel_27	Channel_28	Channel_29	Channel_30	Channel_31	Channel_32	Channel_33	Channel_34	Channel_35	Channel_36	Channel_37	Channel_38	Channel_39	Channel_40
CHANNEL_GAIN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
-0.017243	0.025177	0.000458	0.006561	-0.006867	0.024872	-0.144808	-2.903029	3.796902	-0.395056	2.221561	1.181506	-0.014191	0.026703	0.027314	-0.001373	0.005951	0.013886	0.017853	0.019989	0.008392	0.017548	0.006867	0.007477	-1.186084	-1.240101	-1.282216	-1.277638	-1.253834	-1.301137	-0.002289	-0.032197	0.190890	0.178683	0.178378	0.106050	0.174716	0.158846	0.147250	0.022736	
-0.017548	0.023957	0.003510	0.005951	-0.003815	0.027008	-0.145418	-2.916457	3.794766	-0.391089	2.220035	1.185168	-0.059968	0.142672	0.095674	-0.048676	-0.012665	0.018769	0.016938	0.020294	0.010224	0.018158	0.006561	0.011139	-1.219654	-1.210803	-1.241932	-1.230640	-1.196765	-1.237659	-0.001373	-0.031891	0.193332	0.179904	0.180514	0.109712	0.188449	0.169223	0.169223	0.034333	
-0.017243	0.022736	0.002289	0.005646	-0.005035	0.025788	-0.142977	-2.932937	3.795682	-0.395361	2.221866	1.190661	-0.088045	0.200351	0.122530	-0.072175	-0.025483	0.019074	0.016327	0.019074	0.007782	0.018769	0.002899	0.009918	-1.241627	-1.201343	-1.229725	-1.214465	-1.174487	-1.209888	-0.002289	-0.031891	0.196078	0.182650	0.182345	0.110628	0.188144	0.169528	0.168917	0.037385	
-0.017548	0.025483	0.001678	0.007782	-0.004120	0.026093	-0.142367	-2.948196	3.801785	-0.392615	2.220645	1.192493	-0.086213	0.192721	0.144503	-0.084077	-0.038911	0.027619	0.016022	0.016022	0.007782	0.018769	0.005951	0.007782	-1.262989	-1.157397	-1.191882	-1.179065	-1.143053	-1.179675	-0.001373	-0.031281	0.198215	0.184787	0.184176	0.112459	0.188144	0.171054	0.168917	0.039216	
-0.016632	0.025788	0.001678	0.006256	-0.003815	0.028840	-0.143282	-2.955215	3.803921	-0.390478	2.222171	1.194324	-0.062104	0.196994	0.193027	-0.121004	-0.042878	0.024567	0.018463	0.019989	0.005341	0.017548	0.002594	0.009308	-1.288624	-1.063706	-1.106737	-1.099718	-1.073777	-1.117113	-0.001373	-0.030671	0.198215	0.185702	0.185702	0.114900	0.190890	0.172274	0.169833	0.040131	
-0.018158	0.027924	0.001678	0.009308	-0.004730	0.026703	-0.145113	-2.963150	3.803616	-0.393530	2.221256	1.201038	-0.066072	0.231785	0.169223	-0.110628	-0.057832	0.020600	0.017853	0.019074	0.010834	0.018158	0.007477	0.008392	-1.304494	-0.962081	-1.009384	-1.005722	-0.985580	-1.033494	-0.001373	-0.030976	0.200351	0.186923	0.187533	0.116426	0.192721	0.174411	0.171054	0.041657	
