NO_OF_SAMPLES	2850
TOT_NO_OF_CHAN	40
FREQUENCY	2400.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2014-12-18, 11:52:38	15394.98746532
FIRST_SAMPLE	3461
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Channel_01	Channel_02	Channel_03	Channel_04	Channel_05	Channel_06	Channel_07	Channel_08	Channel_09	Channel_10	Channel_11	Channel_12	Channel_13	Channel_14	Channel_15	Channel_16	Channel_17	Channel_18	Channel_19	Channel_20	Channel_21	Channel_22	Channel_23	Channel_24	Channel_25	Channel_26	Channel_27	Channel_28	Channel_29	Channel_30	Channel_31	Channel_32	Channel_33	Channel_34	Channel_35	Channel_36	Channel_37	Channel_38	Channel_39	Channel_40
CHANNEL_GAIN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
-0.021515	0.021210	0.005035	0.008087	-0.005035	0.026703	-0.468605	-2.264286	3.462120	1.729915	4.520791	2.348821	-0.020600	0.034028	0.030976	-0.008087	0.018158	0.009003	0.020905	0.018463	0.009308	0.018463	0.007782	0.003204	-5.007553	0.797284	0.548562	0.474708	0.359350	0.255894	0.001984	-0.088350	0.068208	0.056306	0.059663	-0.017548	0.060273	0.044404	0.035859	-0.089265	
-0.023957	0.022126	0.004730	0.007782	-0.005341	0.027619	-0.467994	-2.270390	3.464866	1.732052	4.522011	2.357977	-0.051118	0.124666	0.088350	-0.051423	0.012970	0.002594	0.022431	0.017853	0.011139	0.017853	0.005951	0.006867	-5.014267	0.869001	0.604410	0.520790	0.394141	0.283360	0.001678	-0.088350	0.066377	0.055085	0.058747	-0.018463	0.072175	0.052338	0.053864	-0.078584	
-0.025483	0.022736	0.000763	0.007477	-0.004120	0.029755	-0.466773	-2.279545	3.467308	1.732357	4.523537	2.361639	-0.079194	0.199130	0.112459	-0.072480	0.004120	0.001678	0.020905	0.014801	0.009918	0.017243	0.004120	0.005341	-5.011520	0.968490	0.695659	0.601968	0.466468	0.346227	0.002594	-0.089265	0.066987	0.056001	0.058137	-0.017548	0.069123	0.051118	0.050813	-0.078279	
-0.023957	0.019074	0.003510	0.008087	-0.005646	0.027314	-0.466468	-2.284733	3.466697	1.736324	4.521401	2.362859	-0.080720	0.212558	0.140841	-0.087739	-0.001068	0.003510	0.021820	0.017243	0.010224	0.016327	0.007172	0.005951	-5.011215	1.038071	0.762188	0.670329	0.530861	0.409705	0.000458	-0.089265	0.069123	0.056916	0.058442	-0.017243	0.068208	0.050813	0.049287	-0.079805	
-0.021820	0.023651	0.001068	0.006256	-0.005646	0.029145	-0.460670	-2.290837	3.466087	1.735103	4.522622	2.366522	-0.063935	0.202182	0.171359	-0.112154	-0.000763	0.000458	0.020600	0.015412	0.009003	0.016632	0.008087	0.006256	-5.011215	1.152209	0.865034	0.764019	0.618143	0.490578	0.002289	-0.088655	0.069429	0.057221	0.059358	-0.017853	0.067597	0.049897	0.048676	-0.080720	
-0.023346	0.022431	0.001678	0.005951	-0.003204	0.027008	-0.457008	-2.293584	3.467308	1.736629	4.522622	2.373846	-0.070039	0.214389	0.153658	-0.102998	-0.006867	-0.011444	0.020905	0.015412	0.011749	0.018463	0.009003	0.004730	-5.016404	1.221179	0.932174	0.831464	0.686503	0.558328	0.002289	-0.088655	0.068513	0.056916	0.059968	-0.016327	0.068208	0.049897	0.048066	-0.080415	
