NO_OF_SAMPLES	3190
TOT_NO_OF_CHAN	40
FREQUENCY	2400.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2014-12-18, 12:04:29	16106.19054153
FIRST_SAMPLE	1671
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Channel_01	Channel_02	Channel_03	Channel_04	Channel_05	Channel_06	Channel_07	Channel_08	Channel_09	Channel_10	Channel_11	Channel_12	Channel_13	Channel_14	Channel_15	Channel_16	Channel_17	Channel_18	Channel_19	Channel_20	Channel_21	Channel_22	Channel_23	Channel_24	Channel_25	Channel_26	Channel_27	Channel_28	Channel_29	Channel_30	Channel_31	Channel_32	Channel_33	Channel_34	Channel_35	Channel_36	Channel_37	Channel_38	Channel_39	Channel_40
CHANNEL_GAIN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
0.012665	0.021515	0.004120	0.008087	-0.004120	0.009918	-0.398718	-2.062867	3.252766	-0.407263	2.635386	1.338064	-0.085603	0.214694	0.119783	-0.189975	-0.033112	-0.014496	0.017548	0.020905	0.008392	0.016632	0.004730	0.009918	-2.243229	1.982605	1.811704	1.777524	1.689631	1.629206	0.000458	-0.009003	0.205844	0.196689	0.199435	0.130465	0.200961	0.186618	0.178378	0.054780	
0.012970	0.023346	0.002289	0.007782	-0.004425	0.009918	-0.397192	-2.073854	3.249409	-0.406653	2.632334	1.338369	-0.085908	0.188144	0.142672	-0.229343	-0.041657	-0.009308	0.018769	0.018769	0.007477	0.016022	0.008698	0.011139	-2.249943	1.982300	1.811704	1.776913	1.687800	1.628595	0.002289	-0.007782	0.204013	0.195773	0.198215	0.129244	0.211337	0.194247	0.195773	0.063935	
0.011444	0.024262	0.003510	0.006256	-0.005646	0.009613	-0.396887	-2.070802	3.250629	-0.405737	2.633250	1.340200	-0.071870	0.160983	0.173190	-0.262303	-0.049287	-0.018769	0.018769	0.021820	0.007782	0.017548	0.006561	0.007172	-2.252689	1.981689	1.811399	1.777218	1.687190	1.628290	0.001373	-0.008392	0.204013	0.195163	0.197604	0.128328	0.208591	0.192111	0.191806	0.063630	
0.013886	0.023651	0.002594	0.007782	-0.003815	0.011444	-0.401160	-2.074464	3.252155	-0.404822	2.635081	1.343557	-0.074922	0.195773	0.157321	-0.232090	-0.055085	-0.038605	0.019074	0.016938	0.010529	0.019684	0.007477	0.010224	-2.273747	1.981994	1.809262	1.773861	1.684443	1.624018	0.001984	-0.008087	0.204929	0.195163	0.197604	0.128328	0.206760	0.191806	0.190890	0.062715	
0.010834	0.028229	0.001678	0.008698	-0.005341	0.008087	-0.403906	-2.079957	3.251240	-0.404517	2.637217	1.348440	-0.094453	0.241245	0.137789	-0.208896	-0.030976	-0.026703	0.019074	0.019684	0.007782	0.017853	0.003510	0.009308	-2.304875	1.981994	1.807431	1.771420	1.681697	1.620050	0.001373	-0.009613	0.205539	0.195163	0.196384	0.127718	0.205844	0.189364	0.188144	0.060578	
0.007477	0.023651	0.002899	0.008698	-0.004730	0.010224	-0.400549	-2.086977	3.252766	-0.402991	2.632029	1.345388	-0.095064	0.199130	0.131075	-0.190280	-0.023957	-0.004120	0.020294	0.019074	0.008392	0.016327	0.006256	0.010224	-2.337224	1.982300	1.806210	1.768368	1.677119	1.616388	0.001373	-0.009003	0.204013	0.194858	0.196994	0.127108	0.204929	0.189364	0.187533	0.059663	
